1,3943
1,3798
1,3904
1,1623
1,1731
2,869
2,1487
2,2607
2,3871
2,2678
2,1432
2,3982
3,3210
3,497
3,2621
3,3445
3,2130
3,3215
3,2766
3,3123
4,1029
4,639
4,3697
4,2568
4,98
4,2535
5,2708
6,3708
6,809
6,2028
6,3903
6,2943
6,3633
6,2553
7,779
7,3424
7,917
7,2891
7,2680
7,2595
7,3540
7,2410
7,3438
8,864
8,731
8,2958
8,3678
8,3147
8,2221
8,276
8,2733
9,2456
9,2932
9,433
10,1598
11,2801
11,2893
11,1592
11,3525
11,889
11,3449
12,2742
12,342
12,2598
12,2245
13,1817
13,836
13,2150
13,2760
13,921
13,2340
13,1141
13,1604
14,3073
14,185
14,1579
14,2478
14,1153
14,2126
15,1181
15,1429
15,568
16,3017
16,1951
16,3664
16,72
16,366
16,3899
16,2269
16,1635
16,3178
17,2001
17,36
17,3047
17,3341
17,375
17,36
17,2421
18,3899
18,2269
18,3807
18,3570
18,1412
18,1906
18,1393
18,2828
18,1213
18,840
19,445
19,1698
19,3503
19,1240
19,2771
20,1568
20,1331
20,2141
21,1372
21,532
21,3720
21,181
21,2374
21,1552
21,2524
21,3596
21,2963
21,1417
22,2578
22,2567
22,3150
22,3949
22,53
22,2418
22,1200
22,1896
22,326
23,381
23,528
23,1427
24,442
25,2201
25,3321
25,3004
25,1054
25,2380
25,2117
25,388
26,1708
26,2096
26,2469
27,1978
27,2356
27,3349
27,1484
27,8
27,2734
27,1345
28,1536
28,2503
28,728
28,3786
28,3166
28,2731
28,1446
28,2309
28,600
28,3445
29,2314
29,2395
29,1450
29,1481
29,1146
29,2250
29,1599
29,3956
29,233
29,1740
30,2570
30,1420
30,3424
30,1691
30,1048
30,3423
30,2552
30,2950
30,3503
30,1549
31,3585
31,1636
31,380
31,615
31,2961
31,3624
31,3412
31,36
32,2463
32,2790
32,3904
33,315
33,2033
33,3922
33,106
33,502
33,51
33,1266
34,2231
34,1896
34,741
35,1101
35,2812
36,839
36,1598
36,3266
37,1654
37,3067
37,1342
37,1614
37,841
37,100
37,132
37,1120
38,2030
38,2364
38,3498
38,1707
38,3845
38,1507
38,1596
38,1295
39,367
39,3426
39,2060
39,281
39,3719
39,3973
39,945
40,879
40,245
40,942
41,677
41,2794
41,3459
42,1126
42,2750
42,1227
42,861
42,1794
42,326
